Date,Open,High,Low,Close,Adj Close,Volume
2023-11-23,4.474000,4.492000,4.463000,4.472000,4.472000,0
2023-11-24,4.474000,4.492000,4.463000,4.472000,4.472000,0
2023-11-26,null,null,null,null,null,null
2023-11-27,4.457000,4.461000,4.389000,4.389000,4.389000,0
2023-11-28,4.396000,4.422000,4.332000,4.336000,4.336000,0
2023-11-29,4.294000,4.323000,4.253000,4.271000,4.271000,0
2023-11-30,4.280000,4.352000,4.272000,4.352000,4.352000,0
2023-12-01,4.320000,4.348000,4.211000,4.226000,4.226000,0
2023-12-03,null,null,null,null,null,null
2023-12-04,4.243000,4.299000,4.240000,4.288000,4.288000,0
2023-12-05,4.226000,4.228000,4.165000,4.171000,4.171000,0
2023-12-06,4.180000,4.182000,4.108000,4.121000,4.121000,0
2023-12-07,4.169000,4.180000,4.106000,4.129000,4.129000,0
2023-12-08,4.185000,4.278000,4.182000,4.245000,4.245000,0
2023-12-10,null,null,null,null,null,null
2023-12-11,4.274000,4.293000,4.229000,4.239000,4.239000,0
2023-12-12,4.180000,4.251000,4.153000,4.206000,4.206000,0
2023-12-13,4.187000,4.191000,4.009000,4.033000,4.033000,0
2023-12-14,3.966000,3.988000,3.885000,3.930000,3.930000,0
2023-12-15,3.922000,3.971000,3.894000,3.928000,3.928000,0
2023-12-17,null,null,null,null,null,null
2023-12-18,3.917000,3.971000,3.907000,3.954000,3.954000,0
2023-12-19,3.898000,3.928000,3.896000,3.922000,3.922000,0
2023-12-20,3.881000,3.922000,3.873000,3.877000,3.877000,0
2023-12-21,3.860000,3.905000,3.829000,3.894000,3.894000,0
2023-12-22,3.852000,3.919000,3.849000,3.901000,3.901000,0
2023-12-24,null,null,null,null,null,null
2023-12-26,3.908000,3.908000,3.882000,3.886000,3.886000,0
2023-12-27,3.852000,3.852000,3.785000,3.789000,3.789000,0
2023-12-28,3.818000,3.861000,3.800000,3.850000,3.850000,0
2023-12-29,3.879000,3.898000,3.847000,3.866000,3.866000,0
2023-12-31,null,null,null,null,null,null
2024-01-02,3.969000,3.973000,3.918000,3.946000,3.946000,0
2024-01-03,3.978000,4.008000,3.894000,3.907000,3.907000,0
2024-01-04,3.974000,4.006000,3.971000,3.991000,3.991000,0
2024-01-05,4.038000,4.099000,3.953000,4.042000,4.042000,0
2024-01-07,null,null,null,null,null,null
2024-01-08,4.059000,4.063000,3.966000,4.002000,4.002000,0
2024-01-09,4.047000,4.053000,3.996000,4.019000,4.019000,0
2024-01-10,3.992000,4.038000,3.985000,4.030000,4.030000,0
2024-01-11,3.994000,4.068000,3.973000,3.977000,3.977000,0
2024-01-12,4.003000,4.007000,3.916000,3.950000,3.950000,0
2024-01-14,null,null,null,null,null,null
2024-01-16,4.003000,4.083000,3.990000,4.066000,4.066000,0
2024-01-17,4.081000,4.129000,4.075000,4.106000,4.106000,0
2024-01-18,4.090000,4.154000,4.090000,4.144000,4.144000,0
2024-01-19,4.132000,4.198000,4.132000,4.146000,4.146000,0
2024-01-21,null,null,null,null,null,null
2024-01-22,4.098000,4.111000,4.075000,4.094000,4.094000,0
2024-01-23,4.130000,4.155000,4.121000,4.142000,4.142000,0
2024-01-24,4.099000,4.188000,4.086000,4.178000,4.178000,0
2024-01-25,4.155000,4.186000,4.122000,4.132000,4.132000,0
2024-01-26,4.122000,4.166000,4.107000,4.160000,4.160000,0
2024-01-28,null,null,null,null,null,null
2024-01-29,4.108000,4.122000,4.089000,4.091000,4.091000,0
2024-01-30,4.068000,4.103000,4.041000,4.059000,4.059000,0
2024-01-31,4.020000,4.030000,3.944000,3.967000,3.967000,0
2024-02-01,3.927000,3.927000,3.817000,3.863000,3.863000,0
2024-02-02,3.889000,4.054000,3.887000,4.033000,4.033000,0
2024-02-04,null,null,null,null,null,null
2024-02-05,4.112000,4.177000,4.110000,4.164000,4.164000,0
2024-02-06,4.148000,4.162000,4.079000,4.090000,4.090000,0
2024-02-07,4.125000,4.125000,4.065000,4.110000,4.110000,0
2024-02-08,4.137000,4.173000,4.131000,4.170000,4.170000,0
2024-02-09,4.173000,4.193000,4.127000,4.187000,4.187000,0
2024-02-11,null,null,null,null,null,null
2024-02-12,4.152000,4.197000,4.150000,4.172000,4.172000,0
2024-02-13,4.152000,4.316000,4.150000,4.316000,4.316000,0
2024-02-14,4.308000,4.322000,4.246000,4.267000,4.267000,0
2024-02-15,4.226000,4.255000,4.191000,4.240000,4.240000,0
2024-02-16,4.279000,4.328000,4.277000,4.295000,4.295000,0
2024-02-18,null,null,null,null,null,null
2024-02-19,null,null,null,null,null,null
2024-02-20,4.283000,4.289000,4.244000,4.275000,4.275000,0
2024-02-21,4.264000,4.331000,4.258000,4.325000,4.325000,0
2024-02-22,4.337000,4.354000,4.297000,4.327000,4.327000,0
